#{"t_start": 1594001629.9526608, "env_id": null}
r,l,t
1.166667,8,76.42157
1.214286,10,76.443666
1.095238,5,76.45535
1.214286,10,76.478932
-9.809524,9,76.503797
-9.738095,12,76.529694
1.166667,8,76.551605
1.119048,6,76.565689
1.190476,9,76.587634
1.119048,6,76.605412
1.190476,9,76.628611
-0.761905,11,76.652664
-0.761905,11,76.676366
1.238095,11,76.699456
1.095238,5,76.711048
1.214286,10,76.744372
1.095238,5,76.763914
1.142857,7,76.781507
1.119048,6,76.798877
-9.785714,10,76.821784
1.214286,10,76.844836
1.214286,10,76.866628
-0.714286,13,76.899848
1.190476,9,76.917735
1.095238,5,76.929607
1.095238,5,76.941537
1.214286,10,76.967464
1.142857,7,76.986597
-0.785714,10,77.009533
1.190476,9,77.031715
-0.761905,11,77.055572
-0.928571,4,77.06655
1.119048,6,77.07983
1.214286,10,77.101381
1.190476,9,77.12162
1.166667,8,77.138107
1.095238,5,77.149806
1.142857,7,77.168066
1.095238,5,77.179934
1.119048,6,77.193198
1.190476,9,77.213272
1.190476,9,77.23407
1.095238,5,77.246062
-0.690476,14,77.277872
-0.809524,9,77.298894
1.214286,10,77.320937
-9.880952,6,77.336388
1.119048,6,77.349541
-0.857143,7,77.368882
-0.928571,4,77.379875
1.142857,7,77.394739
1.214286,10,77.416468
1.190476,9,77.436595
-0.857143,7,77.451922
-0.904762,5,77.464202
1.119048,6,77.477206
1.142857,7,77.498497
-0.833333,8,77.515257
-9.738095,12,77.541907
1.214286,10,77.563603
-9.714286,13,77.589149
-0.857143,7,77.609188
-9.761905,11,77.631757
1.190476,9,77.652136
1.119048,6,77.665646
1.142857,7,77.68021
-0.928571,4,77.691347
1.190476,9,77.712854
1.095238,5,77.724847
1.119048,6,77.73799
1.261905,12,77.767188
-0.761905,11,77.792434
1.238095,11,77.815747
1.238095,11,77.838625
1.119048,6,77.852979
1.095238,5,77.867558
-0.904762,5,77.879976
1.095238,5,77.894994
-0.928571,4,77.906158
1.095238,5,77.917882
1.190476,9,77.938095
1.119048,6,77.951349
1.261905,12,77.983819
1.214286,10,78.005023
-0.738095,12,78.031814
1.214286,10,78.053366
1.095238,5,78.067119
-9.880952,6,78.079906
1.142857,7,78.097157
1.095238,5,78.108994
1.095238,5,78.120593
-0.809524,9,78.143355
1.095238,5,78.155294
1.095238,5,78.166998
-0.714286,13,78.196484
1.166667,8,78.215528
-0.809524,9,78.234749
1.166667,8,78.253737
1.285714,13,78.284922
-9.761905,11,78.307611
1.119048,6,78.321578
-0.738095,12,78.350067
1.214286,10,78.372195
-0.928571,4,78.383352
1.238095,11,78.406485
1.142857,7,78.42467
-9.857143,7,78.438746
1.142857,7,78.456249
1.261905,12,78.481286
1.166667,8,78.500207
-0.785714,10,78.522391
1.166667,8,78.539693
1.119048,6,78.552905
-0.857143,7,78.570912
1.095238,5,78.583024
1.214286,10,78.606326
-9.761905,11,78.629409
-0.785714,10,78.651683
-9.833333,8,78.669574
1.095238,5,78.681472
1.261905,12,78.707887
1.071429,4,78.719565
-0.761905,11,78.743406
-0.904762,5,78.75574
1.071429,4,78.765801
1.142857,7,78.78854
1.095238,5,78.807061
1.071429,4,78.818344
1.071429,4,78.829096
1.071429,4,78.839854
1.071429,4,78.848471
1.261905,12,78.880975
1.119048,6,78.899505
1.190476,9,78.923103
1.119048,6,78.938292
1.095238,5,78.954529
1.071429,4,78.965821
1.166667,8,78.984838
-0.761905,11,79.017512
1.166667,8,79.037665
-9.785714,10,79.060304
1.119048,6,79.075731
1.071429,4,79.086923
-9.690476,14,79.118609
1.095238,5,79.13133
1.214286,10,79.153862
1.166667,8,79.173321
1.071429,4,79.181058
1.119048,6,79.19827
1.095238,5,79.210504
1.285714,13,79.238189
1.190476,9,79.259492
1.095238,5,79.272043
1.142857,7,79.287188
1.166667,8,79.308379
1.095238,5,79.321641
-0.857143,7,79.337463
1.071429,4,79.348327
1.119048,6,79.361701
-0.833333,8,79.390839
1.166667,8,79.411562
1.095238,5,79.423882
1.190476,9,79.442059
-9.880952,6,79.462692
-0.809524,9,79.485828
1.095238,5,79.500216
1.095238,5,79.511946
1.119048,6,79.528931
1.071429,4,79.536631
1.071429,4,79.547014
1.071429,4,79.561328
1.142857,7,79.577493
1.214286,10,79.59931
1.142857,7,79.617695
1.142857,7,79.63274
1.071429,4,79.642898
1.095238,5,79.657562
1.095238,5,79.669453
1.071429,4,79.679623
1.190476,9,79.699641
1.119048,6,79.71293
1.095238,5,79.724512
1.238095,11,79.75343
1.071429,4,79.763535
1.095238,5,79.779213
1.190476,9,79.7994
-0.857143,7,79.814893
-0.857143,7,79.830364
1.071429,4,79.840646
1.166667,8,79.864248
1.095238,5,79.876182
1.095238,5,79.887837
1.071429,4,79.898873
-0.809524,9,79.918014
1.142857,7,79.935648
1.095238,5,79.947525
1.071429,4,79.957673
1.166667,8,79.974148
1.190476,9,79.996643
1.071429,4,80.006809
1.190476,9,80.026839
1.095238,5,80.116967
1.095238,5,80.128762
-0.761905,11,80.15268
1.190476,9,80.172698
-0.714286,13,80.200401
1.142857,7,80.219744
1.095238,5,80.231452
1.071429,4,80.23912
1.071429,4,80.249362
1.071429,4,80.259563
1.071429,4,80.270414
1.238095,11,80.298019
1.071429,4,80.308144
1.071429,4,80.318501
-0.809524,9,80.336788
1.071429,4,80.347018
1.071429,4,80.357285
1.071429,4,80.368572
1.190476,9,80.392413
1.071429,4,80.400226
1.071429,4,80.41049
-0.761905,11,80.434516
1.142857,7,80.451669
1.119048,6,80.465379
1.095238,5,80.476903
1.071429,4,80.487893
1.071429,4,80.497999
1.119048,6,80.511238
1.071429,4,80.521475
1.071429,4,80.529081
1.238095,11,80.556035
1.119048,6,80.573047
1.309524,14,80.603042
1.071429,4,80.610702
1.142857,7,80.629596
1.166667,8,80.645751
1.071429,4,80.656189
-0.857143,7,80.673851
1.309524,14,80.701365
1.214286,10,80.723763
1.285714,13,80.752747
1.142857,7,80.767169
1.095238,5,80.780482
-0.880952,6,80.80232
1.214286,10,80.824816
1.285714,13,80.852165
1.214286,10,80.881508
1.095238,5,80.897979
1.190476,9,80.922333
1.119048,6,80.935894
1.142857,7,80.954973
-0.880952,6,80.974421
-9.809524,9,80.994984
1.142857,7,81.010104
1.190476,9,81.032172
-9.761905,11,81.055259
-0.785714,10,81.08056
1.142857,7,81.09672
1.166667,8,81.116211
-9.690476,14,81.146964
1.142857,7,81.162695
1.071429,4,81.177135
1.142857,7,81.194491
1.071429,4,81.206294
1.166667,8,81.225333
1.071429,4,81.235808
-0.880952,6,81.252061
1.166667,8,81.27321
1.095238,5,81.285335
1.166667,8,81.304723
1.071429,4,81.315047
1.071429,4,81.32526
1.095238,5,81.337199
1.119048,6,81.350617
1.119048,6,81.364003
1.071429,4,81.374583
-9.761905,11,81.398403
-0.738095,12,81.431037
1.095238,5,81.44353
1.261905,12,81.476557
1.071429,4,81.487231
1.166667,8,81.505453
1.166667,8,81.526313
1.119048,6,81.539696
1.095238,5,81.55434
-0.833333,8,81.578857
1.166667,8,81.595109
1.071429,4,81.613517
1.071429,4,81.624119
1.142857,7,81.639037
-0.880952,6,81.653381
1.142857,7,81.671606
1.190476,9,81.692153
1.095238,5,81.704867
1.071429,4,81.712668
1.214286,10,81.735901
1.142857,7,81.75322
1.261905,12,81.782454
-0.833333,8,81.8035
1.166667,8,81.819496
1.119048,6,81.835465
1.166667,8,81.852132
1.095238,5,81.863774
1.142857,7,81.886253
1.071429,4,81.894022
-0.738095,12,81.923179
1.214286,10,81.945832
1.166667,8,81.962126
-0.785714,10,81.984438
-9.761905,11,82.00981
1.071429,4,82.017667
1.095238,5,82.030949
1.142857,7,82.049327
-0.785714,10,82.073186
1.071429,4,82.083458
1.261905,12,82.10839
1.142857,7,82.12306
1.166667,8,82.143513
-0.666667,15,82.175963
1.190476,9,82.196306
1.071429,4,82.206574
1.071429,4,82.21422
1.333333,15,82.247569
1.071429,4,82.258034
1.071429,4,82.269725
1.166667,8,82.291515
-0.880952,6,82.307023
1.071429,4,82.318211
1.238095,11,82.341738
1.166667,8,82.358512
1.190476,9,82.379078
1.190476,9,82.401441
1.190476,9,82.422476
1.214286,10,82.446741
-0.785714,10,82.470333
1.095238,5,82.482238
1.285714,13,82.510169
1.142857,7,82.527562
1.071429,4,82.537853
1.071429,4,82.545582
1.095238,5,82.560582
1.214286,10,82.582196
-0.880952,6,82.599059
1.166667,8,82.615295
-0.904762,5,82.627621
-0.785714,10,82.649961
-0.690476,14,82.690522
1.071429,4,82.706668
1.071429,4,82.717147
1.095238,5,82.729501
-0.785714,10,82.752631
-0.761905,11,82.785282
1.142857,7,82.800515
-9.738095,12,82.829192
1.119048,6,82.84299
-0.809524,9,82.864587
1.095238,5,82.878644
1.166667,8,82.895363
1.071429,4,82.90603
1.142857,7,82.921135
-0.857143,7,82.94115
1.238095,11,82.97139
1.190476,9,82.992291
1.166667,8,83.008702
1.119048,6,83.025143
1.071429,4,83.032815
-0.857143,7,83.051239
1.071429,4,83.062168
1.095238,5,83.080198
-0.761905,11,83.107175
1.071429,4,83.117382
1.071429,4,83.125521
1.071429,4,83.136143
1.071429,4,83.146738
1.071429,4,83.158322
-9.785714,10,83.180652
1.071429,4,83.192299
1.095238,5,83.206705
1.071429,4,83.214446
1.095238,5,83.227948
1.142857,7,83.246799
1.071429,4,83.257695
-0.857143,7,83.275967
1.166667,8,83.323089
1.238095,11,83.360834
-0.714286,13,83.398503
1.095238,5,83.411647
1.071429,4,83.42372
1.119048,6,83.437855
1.095238,5,83.449904
1.071429,4,83.462956
1.166667,8,83.486569
1.095238,5,83.499153
1.071429,4,83.509849
1.166667,8,83.531677
1.071429,4,83.544313
1.142857,7,83.559825
1.071429,4,83.570751
1.071429,4,83.585872
1.214286,10,83.612975
-9.714286,13,83.64908
1.095238,5,83.660971
1.142857,7,83.676212
1.071429,4,83.686762
1.095238,5,83.70328
-0.761905,11,83.731835
1.095238,5,83.745514
-0.857143,7,83.760928
1.095238,5,83.77269
1.071429,4,83.783465
1.071429,4,83.794329
1.071429,4,83.804507
1.095238,5,83.816244
1.095238,5,83.828113
1.095238,5,83.839954
1.071429,4,83.853102
1.071429,4,83.860727
-9.738095,12,83.893801
1.095238,5,83.905771
1.119048,6,83.926114
1.238095,11,83.949614
1.095238,5,83.961416
1.095238,5,83.973351
1.071429,4,83.983714
1.071429,4,83.994076
1.095238,5,84.011077
1.166667,8,84.029763
1.071429,4,84.043802
-0.833333,8,84.063887
1.190476,9,84.085221
1.214286,10,84.113446
-0.833333,8,84.136132
1.071429,4,84.146487
1.142857,7,84.163957
1.071429,4,84.175932
1.071429,4,84.186774
-0.785714,10,84.210674
1.166667,8,84.229456
1.071429,4,84.237274
1.071429,4,84.247663
1.166667,8,84.279303
-9.785714,10,84.312581
1.071429,4,84.328572
1.261905,12,84.359968
-0.809524,9,84.391967
1.071429,4,84.407158
1.214286,10,84.431051
-0.738095,12,84.461694
1.095238,5,84.477579
1.071429,4,84.487859
1.095238,5,84.499653
1.119048,6,84.514161
-9.857143,7,84.537069
1.071429,4,84.547402
1.166667,8,84.571659
-0.904762,5,84.585236
1.095238,5,84.596992
1.071429,4,84.611673
1.071429,4,84.619457
-9.738095,12,84.651212
1.119048,6,84.664711
1.142857,7,84.680969
1.071429,4,84.691856
-0.880952,6,84.705785
1.119048,6,84.723122
1.214286,10,84.749167
1.071429,4,84.756888
1.142857,7,84.779187
1.095238,5,84.793013
-0.833333,8,84.809838
1.071429,4,84.820883
1.119048,6,84.839505
-9.809524,9,84.861392
-0.761905,11,84.890032
1.095238,5,84.901659
-0.690476,14,84.932823
1.166667,8,84.951581
-0.738095,12,84.978276
1.142857,7,84.99522
1.071429,4,85.00297
-0.690476,14,85.040131
1.190476,9,85.062876
1.214286,10,85.084898
1.071429,4,85.094882
1.071429,4,85.104788
1.190476,9,85.122786
-9.880952,6,85.138211
1.309524,14,85.166173
1.190476,9,85.187423
-9.714286,13,85.215238
1.166667,8,85.231373
-9.761905,11,85.256809
1.142857,7,85.273565
1.095238,5,85.285679
1.119048,6,85.298693
1.095238,5,85.311177
1.190476,9,85.332203
1.071429,4,85.342643
1.238095,11,85.368616
1.095238,5,85.380477
-9.738095,12,85.404672
-9.809524,9,85.425556
-9.809524,9,85.445512
1.095238,5,85.457333
1.071429,4,85.471274
1.119048,6,85.484646
1.071429,4,85.4949
1.166667,8,85.511445
1.071429,4,85.521893
1.071429,4,85.536945
1.071429,4,85.548813
1.166667,8,85.56507
-0.785714,10,85.587596
1.071429,4,85.598067
1.095238,5,85.611082
1.238095,11,85.639041
1.071429,4,85.653648
-0.833333,8,85.683067
1.095238,5,85.69801
1.166667,8,85.714293
1.142857,7,85.739177
1.071429,4,85.74935
1.095238,5,85.761339
1.190476,9,85.788349
1.095238,5,85.801409
1.166667,8,85.820912
1.071429,4,85.835756
1.071429,4,85.847121
1.071429,4,85.854745
1.119048,6,85.870893
1.071429,4,85.878802
1.071429,4,85.88926
1.071429,4,85.901459
1.071429,4,85.91185
1.071429,4,85.926602
1.071429,4,85.934569
1.071429,4,85.946549
-9.714286,13,85.975726
1.071429,4,85.986048
1.071429,4,85.99402
1.238095,11,86.0211
1.071429,4,86.029195
1.166667,8,86.050154
1.166667,8,86.074656
1.095238,5,86.089602
-0.785714,10,86.114145
1.071429,4,86.122449
-0.833333,8,86.153576
-0.857143,7,86.170132
1.142857,7,86.203796
1.142857,7,86.230431
1.071429,4,86.251125
1.071429,4,86.271364
1.285714,13,86.307827
1.142857,7,86.327171
1.071429,4,86.338922
1.142857,7,86.354385
1.071429,4,86.364767
1.095238,5,86.38255
1.071429,4,86.394331
1.071429,4,86.402002
-9.738095,12,86.436012
-0.833333,8,86.454443
1.071429,4,86.469349
1.238095,11,86.497264
-0.714286,13,86.529867
1.214286,10,86.552189
1.071429,4,86.562683
1.142857,7,86.578379
1.071429,4,86.588992
1.190476,9,86.614132
1.119048,6,86.632174
1.142857,7,86.647294
1.071429,4,86.657894
1.071429,4,86.668359
1.071429,4,86.678684
1.190476,9,86.700131
1.071429,4,86.707917
-9.738095,12,86.744414
-9.738095,12,86.77615
1.071429,4,86.789301
-0.809524,9,86.811268
1.214286,10,86.833795
-0.833333,8,86.851739
1.190476,9,86.875334
1.071429,4,86.887337
1.119048,6,86.900915
1.166667,8,86.920466
-0.738095,12,86.95045
-9.714286,13,86.986425
-0.738095,12,87.01691
1.095238,5,87.030072
1.095238,5,87.042003
1.238095,11,87.065242
1.071429,4,87.076059
1.166667,8,87.094913
1.119048,6,87.108207
1.142857,7,87.122749
1.071429,4,87.133115
1.119048,6,87.146185
1.142857,7,87.167889
-0.857143,7,87.188375
1.071429,4,87.199008
-0.714286,13,87.230162
1.071429,4,87.237819
1.238095,11,87.264121
-0.833333,8,87.284179
1.071429,4,87.299188
-0.833333,8,87.318879
-0.809524,9,87.33723
1.071429,4,87.347718
-0.809524,9,87.368744
1.238095,11,87.391959
1.190476,9,87.412489
1.071429,4,87.422488
1.071429,4,87.432792
1.214286,10,87.454409
1.071429,4,87.462091
-0.809524,9,87.483191
1.119048,6,87.496687
-0.738095,12,87.52831
1.095238,5,87.540179
1.095238,5,87.553045
1.285714,13,87.581359
-0.880952,6,87.598415
1.071429,4,87.606069
-9.666667,15,87.637804
1.071429,4,87.648154
1.142857,7,87.665636
1.142857,7,87.680772
-9.714286,13,87.709283
1.071429,4,87.717023
-0.785714,10,87.740949
1.119048,6,87.75685
1.071429,4,87.764505
-0.880952,6,87.783352
1.190476,9,87.8055
1.166667,8,87.831283
1.071429,4,87.841781
-9.690476,14,87.871352
1.095238,5,87.883303
1.071429,4,87.891223
-9.690476,14,87.921213
-0.880952,6,87.935176
-0.738095,12,87.963596
1.095238,5,87.975977
-0.857143,7,87.991748
1.238095,11,88.015021
1.071429,4,88.025516
1.190476,9,88.046659
1.166667,8,88.065899
-9.738095,12,88.093904
1.071429,4,88.104206
-9.833333,8,88.119959
1.071429,4,88.130658
1.071429,4,88.140876
1.142857,7,88.155396
1.071429,4,88.165791
1.071429,4,88.175854
1.119048,6,88.188916
1.071429,4,88.199396
1.166667,8,88.217954
1.166667,8,88.234226
1.238095,11,88.259749
-9.690476,14,88.289922
1.071429,4,88.300319
1.071429,4,88.310616
1.119048,6,88.323972
-0.880952,6,88.337784
1.071429,4,88.348108
1.214286,10,88.370296
1.166667,8,88.390171
1.071429,4,88.397993
1.190476,9,88.418419
1.119048,6,88.431792
1.071429,4,88.446091
-0.833333,8,88.466276
1.166667,8,88.482302
1.119048,6,88.497917
-9.809524,9,88.515133
1.214286,10,88.537132
1.119048,6,88.55288
1.071429,4,88.560686
1.285714,13,88.589925
-9.690476,14,88.629443
1.142857,7,88.645139
1.214286,10,88.667531
1.166667,8,88.688842
-9.809524,9,88.711098
1.166667,8,88.727708
1.071429,4,88.737982
1.142857,7,88.752833
-9.809524,9,88.773831
-9.738095,12,88.801329
1.071429,4,88.809141
1.071429,4,88.819633
1.071429,4,88.831407
1.214286,10,88.856153
1.071429,4,88.866984
1.142857,7,88.882758
1.071429,4,88.894226
1.166667,8,88.912937
1.166667,8,88.930013
-9.809524,9,88.951612
1.142857,7,88.966864
1.071429,4,88.977447
-0.738095,12,89.011764
1.071429,4,89.019518
1.071429,4,89.031415
1.119048,6,89.044627
1.071429,4,89.056198
1.071429,4,89.066487
1.071429,4,89.078413
1.214286,10,89.100347
1.071429,4,89.111595
1.095238,5,89.123417
1.095238,5,89.135494
-0.809524,9,89.158537
1.142857,7,89.175874
1.261905,12,89.200791
1.071429,4,89.211037
1.095238,5,89.227545
1.190476,9,89.250239
1.071429,4,89.260657
1.119048,6,89.274268
1.166667,8,89.292313
1.190476,9,89.314105
1.166667,8,89.333153
1.095238,5,89.345284
1.190476,9,89.365928
1.095238,5,89.377794
1.142857,7,89.393561
1.214286,10,89.415659
1.166667,8,89.434652
-0.738095,12,89.460166
1.095238,5,89.472023
-9.690476,14,89.502689
-9.761905,11,89.5258
1.190476,9,89.546364
1.261905,12,89.571368
1.261905,12,89.599397
1.071429,4,89.607125
1.119048,6,89.623445
-0.857143,7,89.638994
1.214286,10,89.663642
1.142857,7,89.679623
1.071429,4,89.692935
1.071429,4,89.703777
-9.833333,8,89.721842
1.166667,8,89.738094
1.166667,8,89.759276
-0.833333,8,89.778083
1.142857,7,89.797093
1.190476,9,89.817764
-9.785714,10,89.839055
1.309524,14,89.867342
1.190476,9,89.887704
1.142857,7,89.904733
1.095238,5,89.916535
1.071429,4,89.924816
-0.785714,10,89.95249
-0.714286,13,89.990616
1.166667,8,90.009377
1.071429,4,90.017151
1.119048,6,90.032847
-0.833333,8,90.049646
1.095238,5,90.065949
-0.785714,10,90.091934
1.333333,15,90.125125
1.190476,9,90.148141
1.095238,5,90.16063
1.095238,5,90.173404
1.095238,5,90.185025
1.119048,6,90.198435
-9.785714,10,90.219845
1.071429,4,90.231799
1.095238,5,90.246598
-9.738095,12,90.270533
1.095238,5,90.283206
1.095238,5,90.29503
1.119048,6,90.310876
1.214286,10,90.332716
1.166667,8,90.349229
-0.690476,14,90.381072
1.095238,5,90.394671
-0.880952,6,90.408285
1.095238,5,90.419909
1.095238,5,90.431992
-0.809524,9,90.454357
1.142857,7,90.46991
-0.761905,11,90.498692
1.095238,5,90.510376
1.190476,9,90.528041
-0.809524,9,90.548858
1.119048,6,90.56191
1.119048,6,90.580978
1.214286,10,90.609596
1.142857,7,90.627231
1.095238,5,90.64062
-0.833333,8,90.661922
1.119048,6,90.675165
-9.761905,11,90.701328
1.095238,5,90.713107
1.142857,7,90.727738
1.095238,5,90.744808
-0.880952,6,90.762583
1.095238,5,90.776129
1.142857,7,90.794894
1.095238,5,90.807002
1.142857,7,90.821936
1.261905,12,90.849709
1.142857,7,90.864697
1.285714,13,90.894032
1.214286,10,90.915992
1.095238,5,90.929278
1.071429,4,90.939516
1.166667,8,90.95853
1.071429,4,90.969121
1.095238,5,90.98407
1.071429,4,90.994335
1.166667,8,91.010397
1.214286,10,91.035049
1.166667,8,91.054552
1.142857,7,91.069232
1.071429,4,91.079521
1.166667,8,91.099494
1.071429,4,91.109662
1.190476,9,91.127588
-9.809524,9,91.148956
-0.809524,9,91.170135
1.119048,6,91.183322
1.095238,5,91.195877
1.261905,12,91.223015
1.095238,5,91.235635
1.190476,9,91.253539
1.214286,10,91.275502
1.190476,9,91.296599
1.071429,4,91.30712
1.095238,5,91.318779
1.071429,4,91.330001
1.119048,6,91.343414
1.071429,4,91.353497
1.095238,5,91.365746
-0.857143,7,91.381019
-0.857143,7,91.413251
1.095238,5,91.42467
1.142857,7,91.439728
-9.809524,9,91.466162
1.238095,11,91.492485
1.238095,11,91.517321
1.142857,7,91.536697
1.261905,12,91.561935
-0.833333,8,91.581854
-9.809524,9,91.599436
1.095238,5,91.615521
-9.761905,11,91.647087
1.190476,9,91.665096
1.142857,7,91.682921
1.166667,8,91.698883
1.071429,4,91.709369
1.119048,6,91.722708
1.190476,9,91.752791
1.095238,5,91.764779
1.190476,9,91.794809
1.119048,6,91.808367
1.095238,5,91.821376
1.190476,9,91.848158
-0.833333,8,91.868223
-0.714286,13,91.896817
1.119048,6,91.910799
1.095238,5,91.92257
-0.761905,11,91.951569
1.095238,5,91.964584
1.095238,5,91.976638
1.119048,6,91.99029
1.119048,6,92.003754
1.071429,4,92.013869
1.214286,10,92.035761
-0.785714,10,92.058839
1.190476,9,92.079762
1.071429,4,92.087557
1.119048,6,92.103716
-9.666667,15,92.135315
1.119048,6,92.149182
1.214286,10,92.173214
1.095238,5,92.185085
1.095238,5,92.197639
1.119048,6,92.211256
1.166667,8,92.230186
1.119048,6,92.243826
1.142857,7,92.258945
-0.928571,4,92.270229
1.166667,8,92.290971
-0.761905,11,92.315822
1.142857,7,92.331402
-0.785714,10,92.355719
-0.928571,4,92.367028
1.095238,5,92.380872
1.238095,11,92.404786
1.166667,8,92.425729
1.142857,7,92.441056
1.142857,7,92.45874
1.095238,5,92.475128
1.119048,6,92.48903
1.119048,6,92.502643
1.214286,10,92.525096
1.095238,5,92.537113
1.214286,10,92.560753
-0.880952,6,92.574876
-0.880952,6,92.589701
-0.809524,9,92.616733
1.142857,7,92.637154
1.142857,7,92.653935
1.095238,5,92.665925
1.238095,11,92.694401
1.190476,9,92.722547
-9.738095,12,92.756683
1.142857,7,92.781888
1.095238,5,92.793887
1.119048,6,92.807433
1.142857,7,92.822415
1.095238,5,92.835795
1.142857,7,92.85415
-0.880952,6,92.868517
1.166667,8,92.89188
1.095238,5,92.903974
1.095238,5,92.917069
1.190476,9,92.935349
1.190476,9,92.956443
1.095238,5,92.970376
1.095238,5,92.984227
-0.857143,7,93.004511
1.119048,6,93.017633
1.119048,6,93.031388
1.238095,11,93.055026
1.095238,5,93.068846
1.095238,5,93.086056
1.119048,6,93.099601
1.119048,6,93.116144
1.119048,6,93.133791
1.238095,11,93.161882
-0.904762,5,93.174545
1.095238,5,93.186371
1.095238,5,93.198996
1.166667,8,93.217957
-9.785714,10,93.240582
1.095238,5,93.252742
1.166667,8,93.269407
-0.904762,5,93.281925
1.119048,6,93.295696
1.095238,5,93.30779
1.095238,5,93.321461
1.214286,10,93.3447
-0.857143,7,93.363359
1.214286,10,93.38588
1.214286,10,93.409319
1.095238,5,93.421828
-9.738095,12,93.449263
1.095238,5,93.461999
1.095238,5,93.474418
-9.809524,9,93.494704
1.166667,8,93.513548
-9.785714,10,93.536235
1.095238,5,93.54881
1.095238,5,93.561363
-9.785714,10,93.583175
1.166667,8,93.60005
-0.833333,8,93.619628
-0.904762,5,93.633323
1.095238,5,93.645301
-0.809524,9,93.666314
1.095238,5,93.683084
1.119048,6,93.699836
1.095238,5,93.711631
1.214286,10,93.733753
1.095238,5,93.745503
1.214286,10,93.767808
1.095238,5,93.784478
1.190476,9,93.80488
1.166667,8,93.821255
1.119048,6,93.834476
1.095238,5,93.846268
1.095238,5,93.857962
1.071429,4,93.871708
1.095238,5,93.884273
1.119048,6,93.897413
1.119048,6,93.913198
1.261905,12,93.938072
1.095238,5,93.949825
-9.738095,12,93.980522
1.095238,5,93.992948
1.261905,12,94.020424
1.095238,5,94.033005
1.214286,10,94.055001
1.095238,5,94.066791
1.095238,5,94.078548
1.214286,10,94.103772
1.190476,9,94.123915
-9.785714,10,94.145418
1.095238,5,94.157206
1.095238,5,94.169135
1.095238,5,94.181056
1.142857,7,94.196161
1.142857,7,94.210655
1.095238,5,94.222298
1.190476,9,94.242543
1.190476,9,94.262767
1.095238,5,94.282274
1.095238,5,94.293998
1.095238,5,94.305786
1.095238,5,94.317425
1.166667,8,94.33628
1.095238,5,94.348099
1.095238,5,94.360872
-0.904762,5,94.377796
1.285714,13,94.406052
1.095238,5,94.417598
1.190476,9,94.437678
1.095238,5,94.449594
1.119048,6,94.462739
1.095238,5,94.474373
1.285714,13,94.508284
-0.857143,7,94.523577
1.190476,9,94.544258
1.095238,5,94.557795
1.142857,7,94.572475
-9.809524,9,94.592156
1.071429,4,94.602247
1.166667,8,94.620636
1.071429,4,94.628295
1.166667,8,94.647137
1.071429,4,94.657477
1.071429,4,94.667685
1.095238,5,94.67944
1.071429,4,94.686916
1.071429,4,94.697596
1.071429,4,94.708083
-9.809524,9,94.727889
1.071429,4,94.73871
1.285714,13,94.76542
1.071429,4,94.775808
1.071429,4,94.791496
1.071429,4,94.802039
1.190476,9,94.819676
-9.857143,7,94.837899
1.071429,4,94.849827
1.071429,4,94.857416
1.095238,5,94.869347
-9.880952,6,94.885803
-9.833333,8,94.906469
1.071429,4,94.916958
-9.785714,10,94.938972
1.190476,9,94.95971
1.142857,7,94.976107
1.119048,6,94.998135
-0.857143,7,95.018957
1.190476,9,95.038842
1.095238,5,95.050583
1.095238,5,95.062314
1.095238,5,95.075545
-9.809524,9,95.092613
1.071429,4,95.102987
1.166667,8,95.121592
1.166667,8,95.140525
1.119048,6,95.156776
-9.833333,8,95.172596
1.095238,5,95.185524
1.214286,10,95.207707
1.119048,6,95.22657
-9.785714,10,95.253831
1.095238,5,95.266258
1.095238,5,95.282763
1.095238,5,95.295101
-0.880952,6,95.328006
1.119048,6,95.349794
-0.857143,7,95.37423
1.214286,10,95.414947
1.142857,7,95.435314
-0.833333,8,95.458905
1.166667,8,95.478191
1.095238,5,95.490067
1.119048,6,95.503825
-0.809524,9,95.525149
1.095238,5,95.543031
1.095238,5,95.556058
1.238095,11,95.580491
1.214286,10,95.603819
1.095238,5,95.616827
-9.809524,9,95.639312
1.095238,5,95.65451
-9.785714,10,95.681291
1.166667,8,95.69877
1.095238,5,95.714341
1.095238,5,95.726588
1.095238,5,95.743871
-0.880952,6,95.768312
1.095238,5,95.786627
1.095238,5,95.798954
1.142857,7,95.814033
1.166667,8,95.841451
1.095238,5,95.859164
1.190476,9,95.881621
1.095238,5,95.898416
-0.904762,5,95.915298
1.166667,8,95.939142
-9.833333,8,95.958974
1.095238,5,95.970887
1.095238,5,95.991009
1.119048,6,96.004803
1.095238,5,96.021255
1.095238,5,96.034023
1.095238,5,96.046372
1.095238,5,96.058042
1.095238,5,96.070156
1.142857,7,96.092033
1.095238,5,96.103817
1.095238,5,96.115371
1.095238,5,96.127082
1.142857,7,96.144716
1.095238,5,96.156496
1.095238,5,96.168099
1.095238,5,96.179807
1.142857,7,96.194817
1.095238,5,96.206713
-9.809524,9,96.226212
1.095238,5,96.237964
1.095238,5,96.249754
1.095238,5,96.261224
1.095238,5,96.275764
-9.785714,10,96.297652
-9.809524,9,96.321184
1.119048,6,96.337588
1.095238,5,96.349458
1.142857,7,96.371373
1.095238,5,96.385206
1.142857,7,96.414942
1.119048,6,96.429473
1.095238,5,96.442391
1.095238,5,96.459136
1.142857,7,96.474652
-9.785714,10,96.499231
1.095238,5,96.511688
