#{"t_start": 1594001629.9526608, "env_id": null}
r,l,t
1.142857,7,11.002077
1.214286,10,11.023839
-9.714286,13,11.051978
-0.809524,9,11.073749
-9.833333,8,11.089293
1.166667,8,11.108338
-9.857143,7,11.122501
1.095238,5,11.142315
1.095238,5,11.153967
-9.857143,7,11.170768
1.142857,7,11.185386
-9.833333,8,11.203557
1.166667,8,11.228377
1.214286,10,11.250766
1.095238,5,11.262543
1.095238,5,11.274225
1.190476,9,11.294678
1.142857,7,11.316569
-0.880952,6,11.330441
-9.833333,8,11.345856
1.190476,9,11.36621
-9.809524,9,11.385771
1.119048,6,11.399522
1.214286,10,11.422703
-0.857143,7,11.440332
1.214286,10,11.462106
-0.785714,10,11.484455
1.119048,6,11.500052
1.142857,7,11.514685
1.119048,6,11.527755
1.119048,6,11.549096
-0.928571,4,11.557321
-0.904762,5,11.569646
-9.809524,9,11.589469
1.095238,5,11.601122
1.119048,6,11.616458
1.142857,7,11.633964
-9.833333,8,11.649745
1.142857,7,11.666972
-0.738095,12,11.692372
-0.833333,8,11.711599
1.214286,10,11.733285
1.142857,7,11.747955
1.119048,6,11.761032
-0.857143,7,11.780602
-9.809524,9,11.801139
-9.642857,16,11.839105
-0.857143,7,11.854466
1.142857,7,11.872226
1.071429,4,11.880021
1.166667,8,11.898947
1.142857,7,11.913507
-0.904762,5,11.926285
1.119048,6,11.948941
1.119048,6,11.963522
-0.904762,5,11.976597
1.214286,10,12.001081
1.238095,11,12.025638
-0.880952,6,12.039337
-0.714286,13,12.068554
1.190476,9,12.09326
-0.809524,9,12.119359
1.095238,5,12.135642
-0.928571,4,12.150247
-9.833333,8,12.174051
-0.761905,11,12.198061
-9.809524,9,12.217636
1.214286,10,12.240074
-9.714286,13,12.265787
1.142857,7,12.285573
-0.761905,11,12.322778
-0.809524,9,12.346695
1.095238,5,12.358678
1.071429,4,12.368973
1.261905,12,12.393714
-0.738095,12,12.420922
1.214286,10,12.442463
-0.761905,11,12.470408
1.142857,7,12.48519
-9.761905,11,12.507677
-0.904762,5,12.519876
-0.761905,11,12.543419
-0.833333,8,12.563264
-9.690476,14,12.597231
-0.904762,5,12.610338
-9.738095,12,12.635563
1.190476,9,12.655843
1.119048,6,12.668988
-0.857143,7,12.68654
1.119048,6,12.69992
1.119048,6,12.713058
-0.738095,12,12.73795
1.142857,7,12.75498
1.166667,8,12.771026
1.119048,6,12.788157
-0.809524,9,12.80687
-0.785714,10,12.830647
-0.857143,7,12.849696
1.119048,6,12.863893
1.095238,5,12.875583
1.095238,5,12.887006
1.214286,10,12.908564
1.095238,5,12.920456
1.142857,7,12.935037
1.119048,6,12.950871
1.095238,5,12.963158
1.119048,6,12.976495
-9.857143,7,12.991218
1.071429,4,13.001417
1.119048,6,13.014674
1.119048,6,13.027903
1.095238,5,13.039459
1.119048,6,13.055314
1.119048,6,13.069677
1.095238,5,13.081226
-9.880952,6,13.094008
1.119048,6,13.107185
1.166667,8,13.127097
1.214286,10,13.153293
-0.761905,11,13.184402
-0.809524,9,13.206854
1.095238,5,13.218791
1.142857,7,13.234019
1.095238,5,13.245628
1.095238,5,13.257292
1.071429,4,13.267379
1.095238,5,13.279073
1.071429,4,13.289192
1.119048,6,13.309144
1.071429,4,13.319225
1.095238,5,13.33094
1.095238,5,13.342597
1.119048,6,13.355843
-0.785714,10,13.378107
1.119048,6,13.391166
1.142857,7,13.408508
-9.809524,9,13.425666
1.095238,5,13.4415
1.119048,6,13.457546
1.095238,5,13.469187
1.095238,5,13.480802
1.071429,4,13.488551
1.095238,5,13.502007
-9.809524,9,13.522013
1.095238,5,13.533804
-9.785714,10,13.55686
1.190476,9,13.580391
-9.785714,10,13.603937
-9.761905,11,13.628264
-0.904762,5,13.640687
1.119048,6,13.653876
1.095238,5,13.665361
1.119048,6,13.68107
1.261905,12,13.705911
1.142857,7,13.722625
1.119048,6,13.739566
1.142857,7,13.754317
1.119048,6,13.769407
1.261905,12,13.797845
1.142857,7,13.812625
1.166667,8,13.831102
1.190476,9,13.848869
1.095238,5,13.860478
1.095238,5,13.873078
1.095238,5,13.88512
1.095238,5,13.896878
-0.809524,9,13.918807
1.142857,7,13.937143
1.095238,5,13.952566
-0.833333,8,13.970069
-0.690476,14,14.002337
1.238095,11,14.028836
1.214286,10,14.05134
1.095238,5,14.06303
1.119048,6,14.076054
1.261905,12,14.102988
1.119048,6,14.117481
1.261905,12,14.145956
1.119048,6,14.161488
1.119048,6,14.174746
1.095238,5,14.186291
1.142857,7,14.20164
1.190476,9,14.221665
1.119048,6,14.234926
1.119048,6,14.249196
1.214286,10,14.276816
1.238095,11,14.303302
1.119048,6,14.32072
-9.809524,9,14.34006
1.166667,8,14.356164
1.238095,11,14.380347
1.095238,5,14.392107
1.142857,7,14.409544
1.214286,10,14.433079
-0.738095,12,14.458131
1.166667,8,14.479598
1.166667,8,14.495648
1.119048,6,14.511276
1.119048,6,14.524606
1.238095,11,14.548017
